101.329528617, 91.7628879243, 101.329528617
92.1691847506, 157.063433291, 92.1691847506
72.7788599405, 177.426467269, 72.7788599405
60.6355635787, 173.766446003, 60.6355635787
57.2963334932, 173.895745508, 57.2963334932
45.2143935951, 137.226768321, 45.2143935951
22.2731111132, 115.563874115, 22.2731111132
6.32655675301, 117.16077172, 6.32655675301
-22.3147956641, 115.189937255, -22.3147956641
-25.2279070498, 135.278912319, -25.2279070498
-19.2644662024, 139.481712083, -19.2644662024
-26.3520440405, 154.214917013, -26.3520440405
11.2229225245, 149.15458115, 11.2229225245
10.0228133411, 133.204922566, 10.0228133411
9.28847480003, 117.359937863, 9.28847480003
9.03488777243, 114.155864165, 9.03488777243
-6.65939393279, 113.304973172, -6.65939393279
-8.73051879158, 114.412456764, -8.73051879158
-25.88226688, 115.661295722, -25.88226688
-30.9955238349, 117.615546588, -30.9955238349
-39.6901608793, 150.608197199, -39.6901608793
-END-
